removed_feature,set,rep,rmse,accuracy,r2
mr,Development,9,0.007779222480274388,0.4635609946185348,0.21403105808008782
mr,Test,9,0.007872539582355296,0.4668072711100268,0.21760244880337387
tau,Train,9,0.00774800282818127,0.4830155015945646,0.2308366644769847
tau,Development,9,0.007929806200116275,0.4304579890122932,0.1833082891548624
tau,Test,9,0.007984361502272481,0.4452128412928924,0.19521817351154425
SIFTsorghum,Train,9,0.007651703446361823,0.5006866203295516,0.24983759936062178
SIFTsorghum,Development,9,0.007878818287228286,0.4421213533280888,0.19377702687361342
SIFTsorghum,Test,9,0.007749020585733669,0.4919226295489298,0.24196125149975944
SIFTcounts,Train,9,0.008073534367253953,0.4119911268164224,0.16484626140865766
SIFTcounts,Development,9,0.00824112695260347,0.3477453712477363,0.11792358637209133
SIFTcounts,Test,9,0.008201840638219392,0.39175932064811925,0.15077957689884836
frac,Train,9,0.007611847788260584,0.5096923056480285,0.2576320337633704
frac,Development,9,0.007810744003374209,0.45969494592295734,0.20764863813335466
frac,Test,9,0.007870182301750846,0.4690652952599007,0.21807092646003068
rho,Train,9,0.007773429979223079,0.4757415562303409,0.22577994868772178
rho,Development,9,0.007908402997201273,0.43381173600726747,0.18771097649116275
rho,Test,9,0.007999140714661335,0.4396228458853445,0.1922360816834039
Mpi,Train,9,0.0075825929673948534,0.5154770520663172,0.2633273939667271
Mpi,Development,9,0.007774640102108496,0.4657701309116451,0.21495674086087624
Mpi,Test,9,0.007734781486017506,0.49795259528320246,0.24474453803881346
Mexp,Train,9,0.007560597443039869,0.5186162839460122,0.26759506304140723
